condition,condition_seed,damage_seed,final_hamming,auc,half_life,survived
closed_loop,0,0,0.046007,0.027430,43.6,1
closed_loop,0,1,0.036024,0.019445,9.1,1
closed_loop,0,2,0.053168,0.034905,2.5,1
closed_loop,0,3,0.026476,0.015615,6.2,1
closed_loop,0,4,0.022678,0.013755,4.5,1
closed_loop,0,5,0.032661,0.017102,3.9,1
closed_loop,0,6,0.007378,0.003886,6.5,1
closed_loop,0,7,0.020508,0.004807,15.8,1
closed_loop,1,0,0.046007,0.026414,23.4,1
closed_loop,1,1,0.039388,0.021444,7.3,1
closed_loop,1,2,0.044271,0.024999,5.1,1
closed_loop,1,3,0.014757,0.012788,5.8,1
closed_loop,1,4,0.023003,0.018625,4.2,1
closed_loop,1,5,0.032335,0.011653,6.2,1
closed_loop,1,6,0.008138,0.004391,7.4,1
closed_loop,1,7,0.022461,0.004982,12.5,1
closed_loop,2,0,0.042209,0.025366,25.6,1
closed_loop,2,1,0.039062,0.019811,6.7,1
closed_loop,2,2,0.037760,0.028917,3.9,1
closed_loop,2,3,0.016385,0.011729,5.9,1
closed_loop,2,4,0.019206,0.015082,4.8,1
closed_loop,2,5,0.030382,0.012929,4.2,1
closed_loop,2,6,0.004449,0.003351,7.1,1
closed_loop,2,7,0.022569,0.005119,13.3,1
closed_loop,3,0,0.045139,0.025819,27.0,1
closed_loop,3,1,0.034505,0.020349,6.0,1
closed_loop,3,2,0.042426,0.029800,3.8,1
closed_loop,3,3,0.023655,0.014791,4.9,1
closed_loop,3,4,0.012804,0.010353,24.5,1
closed_loop,3,5,0.031141,0.013344,4.5,1
closed_loop,3,6,0.006727,0.004166,7.7,1
closed_loop,3,7,0.023112,0.005461,11.5,1
closed_loop,4,0,0.041558,0.024349,27.5,1
closed_loop,4,1,0.037977,0.020315,24.5,1
closed_loop,4,2,0.044162,0.029378,4.8,1
closed_loop,4,3,0.013238,0.011163,6.5,1
closed_loop,4,4,0.025716,0.012547,4.5,1
closed_loop,4,5,0.031141,0.011066,7.2,1
closed_loop,4,6,0.006836,0.004242,7.1,1
closed_loop,4,7,0.020725,0.004828,14.7,1
static,0,0,0.045247,0.027292,41.8,1
static,0,1,0.039822,0.021868,6.4,1
static,0,2,0.058702,0.035314,2.8,1
static,0,3,0.026367,0.016107,5.2,1
static,0,4,0.015082,0.012196,5.2,1
static,0,5,0.035699,0.014624,4.9,1
static,0,6,0.004340,0.003581,25.8,1
static,0,7,0.021376,0.004835,11.5,1
