gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
0,0.018298,0.018298,0.025760,58.1
1,0.016774,0.016774,0.024153,114.4
2,0.020202,0.016774,0.023890,177.1
3,0.020105,0.016774,0.026040,238.7
4,0.018890,0.016774,0.023638,300.3
5,0.018827,0.016774,0.023743,361.8
6,0.018041,0.016774,0.023796,423.5
7,0.019587,0.016774,0.023632,485.3
8,0.017052,0.016774,0.023460,547.2
9,0.018361,0.016774,0.022962,609.3
10,0.018167,0.016774,0.023235,671.4
11,0.019037,0.016774,0.023268,733.5
12,0.019037,0.016774,0.023200,795.6
13,0.019305,0.016774,0.023486,857.7
14,0.018674,0.016774,0.023272,924.5
15,0.015891,0.015891,0.023369,985.8
16,0.018497,0.015891,0.023204,1046.8
17,0.019633,0.015891,0.023603,1111.9
18,0.017918,0.015891,0.023547,1174.7
19,0.015000,0.015000,0.022929,1237.4
20,0.019458,0.015000,0.023210,1300.1
21,0.020480,0.015000,0.023394,1362.8
22,0.019904,0.015000,0.023174,1425.6
23,0.018986,0.015000,0.023688,1488.3
24,0.019806,0.015000,0.025459,1551.2
25,0.017873,0.015000,0.023485,1613.9
26,0.019370,0.015000,0.023872,1676.6
27,0.019265,0.015000,0.023326,1739.2
28,0.018970,0.015000,0.023759,1801.9
29,0.019727,0.015000,0.024154,1864.6
30,0.018630,0.015000,0.024064,1927.4
31,0.020136,0.015000,0.024377,1990.1
32,0.019783,0.015000,0.025635,2053.1
33,0.019570,0.015000,0.024446,2115.8
34,0.019641,0.015000,0.023852,2178.6
35,0.018213,0.015000,0.023576,2241.1
36,0.019948,0.015000,0.023461,2303.8
37,0.017586,0.015000,0.025807,2366.8
38,0.019178,0.015000,0.024292,2429.6
39,0.018594,0.015000,0.024161,2492.3
40,0.019939,0.015000,0.024011,2554.9
41,0.020095,0.015000,0.024024,2617.7
42,0.017375,0.015000,0.023509,2680.4
43,0.018419,0.015000,0.023247,2743.3
44,0.020897,0.015000,0.023890,2806.3
45,0.018631,0.015000,0.023350,2869.1
46,0.019457,0.015000,0.023593,2932.0
47,0.019996,0.015000,0.023605,2995.0
48,0.019453,0.015000,0.023952,3058.2
49,0.019008,0.015000,0.023623,3121.3
50,0.018118,0.015000,0.023751,3184.4
51,0.018302,0.015000,0.023821,3247.4
52,0.019517,0.015000,0.023161,3310.3
53,0.020572,0.015000,0.024630,3371.3
54,0.017551,0.015000,0.023223,3432.4
55,0.019228,0.015000,0.024421,3497.3
56,0.018833,0.015000,0.023391,3561.1
57,0.016953,0.015000,0.023491,3622.8
58,0.020271,0.015000,0.023570,3683.9
59,0.019802,0.015000,0.023631,3744.9
60,0.019208,0.015000,0.023927,3810.9
61,0.016857,0.015000,0.023239,3872.9
62,0.017820,0.015000,0.023651,3934.0
63,0.017576,0.015000,0.023080,3995.0
64,0.017760,0.015000,0.023278,4059.9
65,0.019906,0.015000,0.023483,4123.0
66,0.019044,0.015000,0.023428,4185.8
67,0.018218,0.015000,0.023610,4248.5
68,0.020042,0.015000,0.023796,4311.3
69,0.018550,0.015000,0.023363,4373.9
70,0.019301,0.015000,0.023473,4436.9
71,0.018667,0.015000,0.023275,4500.0
72,0.019048,0.015000,0.023557,4561.0
73,0.020248,0.015000,0.024578,4622.1
74,0.018598,0.015000,0.024152,4685.2
75,0.017693,0.015000,0.023128,4750.7
76,0.019225,0.015000,0.023370,4811.8
77,0.018563,0.015000,0.023198,4872.8
78,0.018333,0.015000,0.023659,4937.4
79,0.020373,0.015000,0.023642,5000.3
80,0.018785,0.015000,0.023399,5062.7
81,0.019734,0.015000,0.023874,5125.2
82,0.018447,0.015000,0.023019,5187.5
83,0.017743,0.015000,0.023205,5250.2
84,0.018432,0.015000,0.023178,5312.9
85,0.018831,0.015000,0.023377,5375.3
86,0.020486,0.015000,0.024020,5438.3
87,0.019854,0.015000,0.023631,5501.0
88,0.019009,0.015000,0.023309,5564.1
89,0.018288,0.015000,0.023123,5626.9
90,0.019124,0.015000,0.023324,5689.5
91,0.019477,0.015000,0.023550,5752.3
92,0.019403,0.015000,0.024522,5815.4
93,0.017920,0.015000,0.023137,5877.9
94,0.018688,0.015000,0.023267,5940.5
95,0.019453,0.015000,0.023540,6003.2
96,0.018019,0.015000,0.023933,6066.3
97,0.019623,0.015000,0.023460,6129.3
98,0.018245,0.015000,0.023971,6192.7
99,0.016551,0.015000,0.024542,6255.7
100,0.019904,0.015000,0.023768,6317.8
101,0.019771,0.015000,0.024304,6380.5
102,0.018128,0.015000,0.023855,6443.2
103,0.019517,0.015000,0.023646,6506.0
104,0.019155,0.015000,0.024215,6569.5
105,0.017162,0.015000,0.023663,6633.1
106,0.018824,0.015000,0.023355,6703.0
107,0.019600,0.015000,0.025348,6770.6
