step,m_k0,m_k1,m_k2
0,0.025923,0.002823,-0.011325
1,0.024719,0.002692,-0.010799
2,0.023573,0.002567,-0.010298
3,0.022484,0.002448,-0.009823
4,0.021448,0.002335,-0.009370
5,0.020462,0.002228,-0.008939
6,0.019524,0.002126,-0.008529
7,0.018632,0.002029,-0.008140
8,0.017784,0.001937,-0.007769
9,0.016976,0.001849,-0.007416
10,0.027116,0.002954,-0.011845
11,0.025911,0.002823,-0.011318
12,0.024765,0.002698,-0.010818
13,0.023675,0.002579,-0.010341
14,0.022638,0.002466,-0.009888
15,0.021651,0.002359,-0.009457
16,0.020713,0.002256,-0.009047
17,0.019820,0.002159,-0.008657
18,0.018971,0.002067,-0.008287
19,0.018163,0.001979,-0.007934
20,0.028244,0.003078,-0.012337
21,0.027039,0.002946,-0.011810
22,0.025892,0.002821,-0.011309
23,0.024801,0.002702,-0.010833
24,0.023763,0.002589,-0.010380
25,0.022776,0.002482,-0.009948
26,0.021837,0.002379,-0.009538
27,0.020944,0.002282,-0.009148
28,0.020094,0.002189,-0.008777
29,0.019286,0.002101,-0.008424
30,0.029284,0.003191,-0.012791
31,0.028079,0.003060,-0.012265
32,0.026933,0.002935,-0.011765
33,0.025843,0.002816,-0.011288
34,0.024806,0.002703,-0.010836
35,0.023820,0.002596,-0.010405
36,0.022882,0.002493,-0.009995
37,0.021989,0.002396,-0.009605
38,0.021140,0.002304,-0.009234
39,0.020333,0.002216,-0.008882
40,0.030285,0.003299,-0.013229
41,0.029080,0.003168,-0.012702
42,0.027935,0.003043,-0.012202
43,0.026845,0.002925,-0.011726
44,0.025808,0.002812,-0.011273
45,0.024822,0.002704,-0.010842
46,0.023884,0.002602,-0.010433
47,0.022992,0.002505,-0.010043
48,0.022143,0.002412,-0.009672
49,0.021336,0.002324,-0.009319
50,0.031241,0.003403,-0.013646
51,0.030036,0.003272,-0.013119
52,0.028890,0.003147,-0.012619
53,0.027801,0.003028,-0.012143
54,0.026764,0.002915,-0.011690
55,0.025778,0.002808,-0.011259
56,0.024840,0.002706,-0.010850
57,0.023947,0.002608,-0.010460
58,0.023099,0.002516,-0.010089
59,0.022291,0.002428,-0.009737
60,0.032149,0.003501,-0.014042
61,0.030944,0.003370,-0.013516
62,0.029799,0.003245,-0.013015
63,0.028709,0.003126,-0.012539
64,0.027672,0.003013,-0.012086
65,0.026686,0.002906,-0.011656
66,0.025748,0.002804,-0.011246
67,0.024855,0.002707,-0.010856
68,0.024007,0.002614,-0.010486
69,0.023199,0.002526,-0.010133
70,0.033022,0.003595,-0.014423
71,0.031817,0.003464,-0.013897
72,0.030671,0.003339,-0.013396
73,0.029581,0.003221,-0.012920
74,0.028543,0.003108,-0.012467
75,0.027557,0.003000,-0.012036
76,0.026618,0.002898,-0.011626
77,0.025726,0.002801,-0.011236
78,0.024877,0.002709,-0.010865
79,0.024069,0.002621,-0.010513
80,0.033832,0.003684,-0.014777
81,0.032627,0.003552,-0.014250
82,0.031481,0.003428,-0.013750
83,0.030391,0.003309,-0.013274
84,0.029355,0.003196,-0.012821
85,0.028368,0.003089,-0.012390
86,0.027430,0.002987,-0.011981
87,0.026538,0.002890,-0.011591
88,0.025689,0.002797,-0.011220
89,0.024882,0.002709,-0.010868
90,0.034616,0.003769,-0.015119
91,0.033411,0.003637,-0.014593
92,0.032265,0.003513,-0.014092
93,0.031175,0.003394,-0.013616
94,0.030138,0.003281,-0.013163
95,0.029151,0.003174,-0.012732
96,0.028213,0.003072,-0.012322
97,0.027320,0.002974,-0.011933
98,0.026471,0.002882,-0.011562
99,0.025664,0.002794,-0.011209
100,0.035372,0.003851,-0.015449
101,0.034167,0.003720,-0.014922
102,0.033020,0.003595,-0.014422
103,0.031929,0.003477,-0.013945
104,0.030891,0.003364,-0.013492
105,0.029904,0.003256,-0.013061
106,0.028965,0.003154,-0.012651
107,0.028072,0.003057,-0.012261
108,0.027223,0.002964,-0.011890
109,0.026414,0.002876,-0.011537
110,0.036054,0.003923,-0.015747
111,0.034850,0.003792,-0.015221
112,0.033704,0.003668,-0.014720
113,0.032614,0.003549,-0.014244
114,0.031577,0.003436,-0.013791
115,0.030591,0.003329,-0.013361
116,0.029653,0.003227,-0.012951
117,0.028760,0.003130,-0.012561
118,0.027911,0.003038,-0.012190
119,0.027104,0.002950,-0.011838
120,0.036737,0.004000,-0.016045
121,0.035532,0.003869,-0.015519
122,0.034385,0.003744,-0.015018
123,0.033295,0.003625,-0.014542
124,0.032257,0.003513,-0.014089
125,0.031270,0.003405,-0.013658
126,0.030332,0.003303,-0.013248
127,0.029439,0.003206,-0.012858
128,0.028589,0.003113,-0.012487
129,0.027781,0.003025,-0.012134
130,0.037356,0.004065,-0.016315
131,0.036152,0.003934,-0.015789
132,0.035006,0.003810,-0.015289
133,0.033916,0.003691,-0.014813
134,0.032879,0.003578,-0.014360
135,0.031893,0.003471,-0.013929
136,0.030955,0.003369,-0.013519
137,0.030062,0.003272,-0.013130
138,0.029213,0.003179,-0.012759
139,0.028406,0.003092,-0.012406
140,0.037974,0.004135,-0.016585
141,0.036769,0.004003,-0.016059
142,0.035622,0.003879,-0.015558
143,0.034532,0.003760,-0.015082
144,0.033494,0.003647,-0.014629
145,0.032507,0.003539,-0.014198
146,0.031569,0.003437,-0.013788
147,0.030676,0.003340,-0.013398
148,0.029826,0.003247,-0.013027
149,0.029018,0.003160,-0.012674
150,0.039046,0.004311,-0.017042
151,0.037818,0.004175,-0.016506
152,0.036649,0.004045,-0.015996
153,0.035537,0.003921,-0.015511
154,0.034480,0.003804,-0.015050
155,0.033474,0.003692,-0.014611
156,0.032517,0.003586,-0.014193
157,0.031607,0.003484,-0.013796
158,0.030741,0.003388,-0.013418
159,0.029918,0.003297,-0.013059
160,0.039114,0.004254,-0.017077
161,0.037908,0.004123,-0.016551
162,0.036762,0.003999,-0.016050
163,0.035671,0.003880,-0.015574
164,0.034634,0.003768,-0.015121
165,0.033647,0.003661,-0.014691
166,0.032708,0.003559,-0.014281
167,0.031815,0.003462,-0.013891
168,0.030966,0.003369,-0.013520
169,0.030158,0.003282,-0.013168
170,0.039613,0.004282,-0.017293
171,0.038409,0.004152,-0.016768
172,0.037263,0.004029,-0.016268
173,0.036173,0.003912,-0.015792
174,0.035136,0.003800,-0.015339
175,0.034150,0.003694,-0.014909
176,0.033212,0.003593,-0.014499
177,0.032319,0.003497,-0.014110
178,0.031470,0.003406,-0.013739
179,0.030663,0.003319,-0.013387
180,0.040137,0.004348,-0.017524
181,0.038931,0.004218,-0.016997
182,0.037783,0.004094,-0.016496
183,0.036692,0.003976,-0.016020
184,0.035654,0.003864,-0.015567
185,0.034666,0.003757,-0.015135
186,0.033727,0.003656,-0.014725
187,0.032833,0.003559,-0.014335
188,0.031983,0.003467,-0.013964
189,0.031175,0.003380,-0.013611
190,0.040593,0.004404,-0.017725
191,0.039387,0.004273,-0.017198
192,0.038240,0.004149,-0.016697
193,0.037149,0.004031,-0.016221
194,0.036111,0.003919,-0.015768
195,0.035124,0.003812,-0.015337
196,0.034185,0.003710,-0.014927
197,0.033292,0.003613,-0.014537
198,0.032442,0.003521,-0.014166
199,0.031634,0.003434,-0.013813
200,0.041031,0.004454,-0.017917
201,0.039826,0.004323,-0.017390
202,0.038679,0.004199,-0.016890
203,0.037588,0.004081,-0.016413
204,0.036551,0.003968,-0.015960
205,0.035564,0.003861,-0.015529
206,0.034625,0.003760,-0.015119
207,0.033732,0.003663,-0.014729
208,0.032882,0.003571,-0.014358
209,0.032074,0.003483,-0.014006
210,0.041442,0.004500,-0.018096
211,0.040237,0.004369,-0.017570
212,0.039090,0.004245,-0.017070
213,0.038000,0.004126,-0.016593
214,0.036963,0.004014,-0.016141
215,0.035976,0.003907,-0.015710
216,0.035038,0.003805,-0.015300
217,0.034145,0.003708,-0.014910
218,0.033296,0.003616,-0.014539
219,0.032488,0.003529,-0.014187
220,0.041847,0.004546,-0.018273
221,0.040641,0.004415,-0.017747
222,0.039495,0.004291,-0.017246
223,0.038404,0.004172,-0.016770
224,0.037367,0.004060,-0.016317
225,0.036380,0.003953,-0.015886
226,0.035441,0.003851,-0.015476
227,0.034548,0.003754,-0.015086
228,0.033699,0.003662,-0.014715
229,0.032891,0.003574,-0.014363
230,0.042231,0.004592,-0.018442
231,0.041026,0.004461,-0.017916
232,0.039879,0.004336,-0.017415
233,0.038788,0.004218,-0.016939
234,0.037750,0.004105,-0.016485
235,0.036763,0.003997,-0.016054
236,0.035824,0.003895,-0.015644
237,0.034931,0.003798,-0.015254
238,0.034082,0.003706,-0.014883
239,0.033274,0.003618,-0.014530
240,0.042571,0.004631,-0.018591
241,0.041366,0.004500,-0.018065
242,0.040220,0.004375,-0.017565
243,0.039130,0.004256,-0.017089
244,0.038093,0.004144,-0.016636
245,0.037107,0.004036,-0.016205
246,0.036169,0.003934,-0.015795
247,0.035277,0.003837,-0.015406
248,0.034428,0.003745,-0.015035
249,0.033620,0.003657,-0.014682
250,0.042928,0.004673,-0.018748
251,0.041722,0.004541,-0.018221
252,0.040576,0.004416,-0.017720
253,0.039485,0.004298,-0.017244
254,0.038448,0.004185,-0.016791
255,0.037461,0.004077,-0.016360
256,0.036522,0.003975,-0.015950
257,0.035629,0.003878,-0.015560
258,0.034780,0.003785,-0.015189
259,0.033972,0.003697,-0.014836
260,0.043243,0.004708,-0.018886
261,0.042038,0.004577,-0.018359
262,0.040892,0.004452,-0.017859
263,0.039802,0.004333,-0.017383
264,0.038765,0.004220,-0.016930
265,0.037778,0.004113,-0.016499
266,0.036840,0.004011,-0.016089
267,0.035947,0.003913,-0.015699
268,0.035098,0.003821,-0.015328
269,0.034290,0.003733,-0.014976
270,0.043547,0.004741,-0.019018
271,0.042342,0.004610,-0.018492
272,0.041196,0.004485,-0.017992
273,0.040106,0.004366,-0.017516
274,0.039069,0.004253,-0.017063
275,0.038083,0.004146,-0.016632
276,0.037145,0.004044,-0.016222
277,0.036252,0.003946,-0.015832
278,0.035403,0.003854,-0.015462
279,0.034596,0.003766,-0.015109
280,0.043839,0.004773,-0.019146
281,0.042635,0.004641,-0.018620
282,0.041489,0.004517,-0.018119
283,0.040399,0.004398,-0.017643
284,0.039362,0.004285,-0.017190
285,0.038375,0.004177,-0.016760
286,0.037437,0.004075,-0.016350
287,0.036545,0.003978,-0.015960
288,0.035696,0.003886,-0.015589
289,0.034888,0.003798,-0.015237
290,0.044123,0.004804,-0.019270
291,0.042918,0.004673,-0.018744
292,0.041772,0.004548,-0.018243
293,0.040682,0.004429,-0.017767
294,0.039644,0.004316,-0.017314
295,0.038658,0.004209,-0.016883
296,0.037720,0.004107,-0.016473
297,0.036827,0.004010,-0.016083
298,0.035978,0.003917,-0.015713
299,0.035170,0.003829,-0.015360
300,0.045416,0.005062,-0.019805
301,0.044163,0.004920,-0.019259
302,0.042972,0.004785,-0.018740
303,0.041838,0.004657,-0.018246
304,0.040760,0.004535,-0.017776
305,0.039734,0.004418,-0.017329
306,0.038759,0.004308,-0.016904
307,0.037831,0.004203,-0.016500
308,0.036948,0.004103,-0.016116
309,0.036108,0.004008,-0.015750
310,0.044726,0.004858,-0.019517
311,0.043519,0.004728,-0.018991
312,0.042371,0.004603,-0.018490
313,0.041279,0.004485,-0.018014
314,0.040240,0.004373,-0.017560
315,0.039252,0.004266,-0.017129
316,0.038312,0.004164,-0.016720
317,0.037418,0.004067,-0.016330
318,0.036568,0.003975,-0.015959
319,0.035759,0.003887,-0.015606
320,0.044928,0.004854,-0.019608
321,0.043723,0.004724,-0.019082
322,0.042577,0.004601,-0.018582
323,0.041486,0.004484,-0.018106
324,0.040449,0.004373,-0.017654
325,0.039462,0.004267,-0.017223
326,0.038524,0.004166,-0.016814
327,0.037631,0.004071,-0.016424
328,0.036781,0.003980,-0.016054
329,0.035974,0.003893,-0.015701
330,0.045142,0.004873,-0.019703
331,0.043937,0.004744,-0.019178
332,0.042791,0.004621,-0.018678
333,0.041701,0.004504,-0.018202
334,0.040665,0.004393,-0.017749
335,0.039678,0.004287,-0.017319
336,0.038740,0.004187,-0.016910
337,0.037848,0.004091,-0.016520
338,0.036999,0.004000,-0.016150
339,0.036191,0.003913,-0.015797
340,0.045406,0.004912,-0.019820
341,0.044199,0.004782,-0.019293
342,0.043051,0.004659,-0.018792
343,0.041958,0.004541,-0.018315
344,0.040920,0.004429,-0.017862
345,0.039931,0.004323,-0.017430
346,0.038991,0.004222,-0.017020
347,0.038097,0.004125,-0.016630
348,0.037247,0.004034,-0.016259
349,0.036438,0.003946,-0.015906
350,0.045604,0.004943,-0.019908
351,0.044397,0.004812,-0.019381
352,0.043249,0.004688,-0.018880
353,0.042157,0.004570,-0.018403
354,0.041119,0.004458,-0.017950
355,0.040131,0.004351,-0.017519
356,0.039191,0.004250,-0.017108
357,0.038297,0.004153,-0.016718
358,0.037447,0.004061,-0.016347
359,0.036638,0.003974,-0.015994
360,0.045758,0.004959,-0.019975
361,0.044553,0.004829,-0.019449
362,0.043407,0.004705,-0.018949
363,0.042317,0.004587,-0.018473
364,0.041280,0.004475,-0.018021
365,0.040293,0.004368,-0.017590
366,0.039355,0.004267,-0.017180
367,0.038462,0.004170,-0.016791
368,0.037613,0.004078,-0.016420
369,0.036806,0.003991,-0.016067
370,0.045961,0.004984,-0.020065
371,0.044755,0.004854,-0.019538
