condition,condition_seed,damage_seed,final_hamming,auc,half_life,survived
closed_loop,0,0,0.045790,0.027104,36.2,1
closed_loop,0,1,0.036567,0.019917,6.7,1
closed_loop,0,2,0.046332,0.032319,3.1,1
closed_loop,0,3,0.029188,0.018553,4.8,1
closed_loop,0,4,0.024523,0.018244,4.1,1
closed_loop,0,5,0.030816,0.011619,5.5,1
closed_loop,0,6,0.004991,0.003659,6.6,1
closed_loop,0,7,0.029080,0.009414,13.7,1
closed_loop,1,0,0.046224,0.028312,29.5,1
closed_loop,1,1,0.033746,0.019252,5.5,1
closed_loop,1,2,0.041992,0.030272,3.9,1
closed_loop,1,3,0.026801,0.016420,5.1,1
closed_loop,1,4,0.024414,0.019744,3.9,1
closed_loop,1,5,0.032769,0.015853,4.6,1
closed_loop,1,6,0.004666,0.003030,7.2,1
closed_loop,1,7,0.023003,0.005935,11.4,1
closed_loop,2,0,0.046549,0.026414,43.5,1
closed_loop,2,1,0.035916,0.017796,5.5,1
closed_loop,2,2,0.048503,0.030683,3.8,1
closed_loop,2,3,0.022027,0.014615,5.3,1
closed_loop,2,4,0.018229,0.012792,5.9,1
closed_loop,2,5,0.035373,0.015535,3.6,1
closed_loop,2,6,0.005425,0.003214,6.8,1
closed_loop,2,7,0.021050,0.005446,14.9,1
closed_loop,3,0,0.047092,0.027409,24.8,1
closed_loop,3,1,0.035048,0.017371,6.7,1
closed_loop,3,2,0.053385,0.034728,3.5,1
closed_loop,3,3,0.027127,0.017173,5.2,1
closed_loop,3,4,0.018555,0.015111,4.7,1
closed_loop,3,5,0.031467,0.015662,3.7,1
closed_loop,3,6,0.001411,0.002271,27.5,1
closed_loop,3,7,0.019097,0.005021,13.3,1
closed_loop,4,0,0.047092,0.029053,41.8,1
closed_loop,4,1,0.036892,0.019566,25.1,1
closed_loop,4,2,0.047635,0.033041,3.8,1
closed_loop,4,3,0.025282,0.014213,5.3,1
closed_loop,4,4,0.027995,0.020529,4.5,1
closed_loop,4,5,0.034180,0.014121,6.7,1
closed_loop,4,6,0.005100,0.003339,6.5,1
closed_loop,4,7,0.024197,0.005778,13.3,1
static,0,0,0.046115,0.027583,23.6,1
static,0,1,0.028537,0.015221,6.7,1
static,0,2,0.044054,0.030477,3.6,1
static,0,3,0.019206,0.013645,6.3,1
static,0,4,0.022027,0.018439,4.2,1
static,0,5,0.032769,0.016795,3.5,1
static,0,6,0.001085,0.002039,27.8,1
static,0,7,0.023655,0.006389,11.8,1
static,1,0,0.046115,0.029118,26.5,1
static,1,1,0.037109,0.019027,6.5,1
static,1,2,0.045681,0.029333,3.9,1
static,1,3,0.030707,0.017134,4.6,1
static,1,4,0.025716,0.019878,4.0,1
static,1,5,0.033963,0.012004,6.1,1
static,1,6,0.004774,0.003091,8.5,1
static,1,7,0.021701,0.006951,19.5,1
static,2,0,0.046115,0.029040,28.6,1
static,2,1,0.035373,0.018543,7.3,1
static,2,2,0.037869,0.025092,4.1,1
static,2,3,0.024957,0.016222,4.6,1
static,2,4,0.019423,0.015884,5.2,1
static,2,5,0.025065,0.011362,4.5,1
static,2,6,0.004774,0.003321,6.4,1
static,2,7,0.026910,0.009042,25.8,1
static,3,0,0.046115,0.027243,23.4,1
static,3,1,0.037109,0.021079,6.2,1
static,3,2,0.045139,0.029332,4.2,1
static,3,3,0.014648,0.010799,5.6,1
static,3,4,0.027669,0.020275,4.8,1
static,3,5,0.035265,0.015391,5.2,1
static,3,6,0.005208,0.003833,8.2,1
static,3,7,0.025499,0.008548,12.8,1
static,4,0,0.046441,0.029612,41.2,1
static,4,1,0.039497,0.021280,6.2,1
static,4,2,0.042860,0.027498,3.8,1
static,4,3,0.025391,0.015695,5.1,1
static,4,4,0.011502,0.007469,8.9,1
static,4,5,0.031250,0.015111,4.8,1
static,4,6,0.001411,0.002830,29.2,1
