gen,best_in_gen,best_so_far,mean_fitness,elapsed_sec
0,0.019483,0.019483,0.024083,37.4
1,0.019614,0.019483,0.026638,67.3
2,0.019133,0.019133,0.023794,96.6
3,0.019284,0.019133,0.024021,125.9
4,0.017599,0.017599,0.023613,155.3
5,0.020102,0.017599,0.023833,184.6
6,0.018629,0.017599,0.024086,214.0
7,0.017413,0.017413,0.023881,243.3
8,0.017844,0.017413,0.023546,272.6
9,0.020174,0.017413,0.024096,302.0
10,0.018322,0.017413,0.023937,331.3
11,0.019402,0.017413,0.023754,360.7
12,0.019415,0.017413,0.023717,390.0
13,0.018555,0.017413,0.024952,419.3
14,0.019936,0.017413,0.024480,448.7
15,0.018830,0.017413,0.023930,478.0
16,0.018250,0.017413,0.023849,507.4
17,0.019226,0.017413,0.023567,536.7
18,0.018642,0.017413,0.023413,566.0
19,0.018342,0.017413,0.023972,595.4
20,0.016353,0.016353,0.023934,624.7
21,0.018530,0.016353,0.023699,654.0
22,0.018263,0.016353,0.022930,683.4
23,0.019419,0.016353,0.024034,712.7
24,0.018125,0.016353,0.023302,742.0
25,0.017419,0.016353,0.023200,771.3
26,0.018575,0.016353,0.024088,800.7
27,0.019474,0.016353,0.023408,830.0
28,0.019528,0.016353,0.023331,859.3
29,0.018035,0.016353,0.024183,888.7
30,0.019737,0.016353,0.023408,918.0
31,0.019459,0.016353,0.023362,947.4
32,0.018660,0.016353,0.024178,976.7
33,0.018613,0.016353,0.023349,1006.0
34,0.017648,0.016353,0.023502,1035.4
35,0.019963,0.016353,0.023801,1064.7
36,0.018992,0.016353,0.023798,1094.0
37,0.017956,0.016353,0.023028,1123.4
38,0.017124,0.016353,0.026052,1152.7
39,0.020662,0.016353,0.023878,1182.0
40,0.019393,0.016353,0.023432,1211.4
41,0.018865,0.016353,0.023596,1240.7
42,0.016097,0.016097,0.024225,1270.1
43,0.018893,0.016097,0.024538,1299.4
44,0.017852,0.016097,0.023107,1328.7
45,0.019615,0.016097,0.023360,1358.1
46,0.020627,0.016097,0.023754,1387.4
47,0.019253,0.016097,0.023754,1416.8
48,0.018672,0.016097,0.024129,1446.1
49,0.019244,0.016097,0.023636,1475.4
50,0.018340,0.016097,0.023319,1504.7
51,0.017432,0.016097,0.023452,1534.1
52,0.019849,0.016097,0.024567,1563.4
53,0.018172,0.016097,0.023267,1592.7
54,0.019024,0.016097,0.023227,1622.1
55,0.017769,0.016097,0.023984,1651.4
56,0.016409,0.016097,0.023462,1680.7
57,0.018643,0.016097,0.023655,1710.1
58,0.018918,0.016097,0.023633,1739.4
59,0.018679,0.016097,0.023199,1768.7
60,0.018421,0.016097,0.023877,1798.1
61,0.019380,0.016097,0.023689,1827.4
62,0.018253,0.016097,0.023325,1856.7
63,0.018040,0.016097,0.023391,1886.1
64,0.019740,0.016097,0.023727,1915.4
65,0.018739,0.016097,0.023558,1944.7
66,0.020415,0.016097,0.023879,1974.1
67,0.019168,0.016097,0.023598,2003.4
68,0.018626,0.016097,0.024640,2032.7
69,0.018057,0.016097,0.023307,2062.1
70,0.018988,0.016097,0.024724,2091.4
71,0.018139,0.016097,0.023651,2120.7
72,0.018671,0.016097,0.023605,2150.1
73,0.018563,0.016097,0.023261,2179.4
74,0.017819,0.016097,0.023509,2208.7
75,0.018521,0.016097,0.023340,2238.1
76,0.019589,0.016097,0.023347,2267.4
77,0.020369,0.016097,0.023825,2296.7
78,0.018098,0.016097,0.024091,2326.1
79,0.019074,0.016097,0.024896,2355.4
80,0.018943,0.016097,0.023825,2384.7
81,0.019763,0.016097,0.023755,2414.1
82,0.018687,0.016097,0.025557,2443.4
83,0.016985,0.016097,0.023218,2472.7
84,0.020042,0.016097,0.023952,2502.1
85,0.018931,0.016097,0.023954,2531.4
86,0.018829,0.016097,0.023866,2560.8
87,0.018198,0.016097,0.023167,2590.1
88,0.018694,0.016097,0.023644,2619.4
89,0.018991,0.016097,0.023579,2648.7
90,0.019757,0.016097,0.023725,2678.1
91,0.017791,0.016097,0.023391,2707.4
92,0.017964,0.016097,0.023326,2736.7
93,0.020250,0.016097,0.023969,2766.1
94,0.018826,0.016097,0.023622,2795.4
95,0.019377,0.016097,0.023504,2824.7
96,0.019532,0.016097,0.023865,2854.1
97,0.017916,0.016097,0.023555,2883.4
98,0.018446,0.016097,0.024723,2912.7
99,0.017440,0.016097,0.023286,2942.1
100,0.020203,0.016097,0.024023,2971.4
101,0.018730,0.016097,0.023618,3000.7
102,0.019149,0.016097,0.023356,3030.1
103,0.019966,0.016097,0.023317,3059.4
104,0.019192,0.016097,0.023536,3088.8
105,0.019799,0.016097,0.023444,3118.1
106,0.017830,0.016097,0.023412,3147.4
107,0.019090,0.016097,0.023058,3176.7
108,0.019586,0.016097,0.024576,3206.1
109,0.018973,0.016097,0.023377,3235.4
110,0.018561,0.016097,0.024241,3264.7
111,0.020214,0.016097,0.024279,3294.1
112,0.017001,0.016097,0.023921,3323.4
113,0.019372,0.016097,0.023472,3352.7
114,0.020061,0.016097,0.024055,3382.1
115,0.020494,0.016097,0.023828,3411.4
116,0.020574,0.016097,0.024438,3440.7
117,0.018920,0.016097,0.024815,3470.1
118,0.018800,0.016097,0.023363,3499.4
119,0.017587,0.016097,0.024233,3528.7
120,0.018922,0.016097,0.024545,3558.1
121,0.019856,0.016097,0.024056,3587.4
122,0.019402,0.016097,0.024238,3616.7
123,0.016442,0.016097,0.024115,3646.1
124,0.020080,0.016097,0.024769,3675.4
125,0.020127,0.016097,0.023343,3704.7
126,0.019387,0.016097,0.023813,3734.1
127,0.019504,0.016097,0.023701,3763.4
128,0.019586,0.016097,0.023589,3792.7
129,0.018234,0.016097,0.023280,3822.1
130,0.019370,0.016097,0.023921,3851.4
131,0.018621,0.016097,0.023502,3880.7
132,0.018364,0.016097,0.023630,3910.1
133,0.017338,0.016097,0.022927,3939.4
134,0.019151,0.016097,0.023440,3968.7
135,0.020145,0.016097,0.023838,3998.1
136,0.017876,0.016097,0.023535,4027.4
137,0.018977,0.016097,0.023063,4056.7
138,0.017039,0.016097,0.023522,4086.1
139,0.018704,0.016097,0.024317,4115.4
140,0.018534,0.016097,0.024396,4144.8
141,0.020938,0.016097,0.023775,4174.1
142,0.017599,0.016097,0.023845,4203.4
143,0.016184,0.016097,0.023697,4232.8
144,0.017750,0.016097,0.023541,4262.1
145,0.019340,0.016097,0.024005,4291.4
146,0.018527,0.016097,0.023449,4320.8
147,0.019344,0.016097,0.023822,4350.1
148,0.018979,0.016097,0.023290,4379.4
149,0.019201,0.016097,0.024195,4408.8
150,0.018863,0.016097,0.023454,4438.1
151,0.018966,0.016097,0.024600,4467.4
152,0.019345,0.016097,0.023283,4496.8
153,0.019358,0.016097,0.024357,4526.1
154,0.020318,0.016097,0.023855,4555.4
155,0.018627,0.016097,0.023457,4584.7
156,0.019477,0.016097,0.023529,4614.1
157,0.017722,0.016097,0.024597,4643.4
158,0.017426,0.016097,0.023242,4672.8
159,0.017528,0.016097,0.024086,4702.1
160,0.019375,0.016097,0.024222,4731.4
161,0.019490,0.016097,0.023405,4760.8
162,0.019560,0.016097,0.023624,4790.1
163,0.018003,0.016097,0.024481,4819.4
164,0.019264,0.016097,0.023822,4848.8
165,0.018744,0.016097,0.023599,4878.1
166,0.018752,0.016097,0.023695,4907.4
167,0.019121,0.016097,0.023356,4936.8
168,0.019547,0.016097,0.023735,4966.1
169,0.019936,0.016097,0.023778,4995.4
170,0.017173,0.016097,0.025638,5024.8
171,0.019392,0.016097,0.023808,5054.1
172,0.020268,0.016097,0.023520,5083.4
173,0.018699,0.016097,0.023794,5112.8
174,0.019155,0.016097,0.023499,5142.1
175,0.018440,0.016097,0.023236,5171.4
176,0.019698,0.016097,0.023596,5200.8
177,0.018652,0.016097,0.023800,5230.1
178,0.018360,0.016097,0.024079,5259.5
179,0.016113,0.016097,0.023455,5288.8
180,0.019770,0.016097,0.023970,5318.1
181,0.018980,0.016097,0.023651,5347.5
182,0.018069,0.016097,0.023230,5376.8
183,0.018217,0.016097,0.022728,5406.1
184,0.016226,0.016097,0.024764,5435.5
185,0.017741,0.016097,0.023603,5464.8
186,0.019545,0.016097,0.023448,5494.2
187,0.018875,0.016097,0.023442,5523.5
188,0.019478,0.016097,0.023478,5552.8
189,0.019226,0.016097,0.023883,5582.2
190,0.018584,0.016097,0.023939,5611.5
191,0.019073,0.016097,0.023486,5640.8
192,0.015930,0.015930,0.023500,5670.2
193,0.018566,0.015930,0.023524,5699.5
194,0.019497,0.015930,0.023740,5728.9
195,0.017043,0.015930,0.023992,5758.2
196,0.019733,0.015930,0.023916,5787.5
197,0.018959,0.015930,0.024091,5816.9
198,0.018155,0.015930,0.024030,5846.2
199,0.019410,0.015930,0.023843,5875.5
200,0.017657,0.015930,0.023478,5904.9
201,0.017314,0.015930,0.023920,5934.2
202,0.019461,0.015930,0.023141,5963.5
203,0.019352,0.015930,0.023552,5992.9
204,0.017058,0.015930,0.023477,6022.2
205,0.019058,0.015930,0.023337,6051.5
206,0.018801,0.015930,0.023483,6080.9
207,0.019803,0.015930,0.023476,6110.2
208,0.018973,0.015930,0.023389,6139.5
209,0.019591,0.015930,0.023695,6168.9
210,0.019505,0.015930,0.022923,6198.2
211,0.018823,0.015930,0.023696,6227.5
212,0.019555,0.015930,0.024098,6256.9
213,0.019682,0.015930,0.023650,6286.2
214,0.019648,0.015930,0.023389,6315.5
215,0.017948,0.015930,0.023189,6344.9
216,0.019370,0.015930,0.023589,6374.2
217,0.018661,0.015930,0.023642,6403.5
218,0.019462,0.015930,0.023296,6432.9
219,0.019751,0.015930,0.023586,6462.2
220,0.018739,0.015930,0.023361,6491.5
221,0.017937,0.015930,0.023248,6520.9
222,0.019333,0.015930,0.023542,6550.2
223,0.018971,0.015930,0.023884,6579.5
224,0.019062,0.015930,0.023578,6608.9
225,0.019503,0.015930,0.023461,6638.2
226,0.018079,0.015930,0.023726,6667.5
227,0.017577,0.015930,0.023612,6696.9
228,0.019155,0.015930,0.023982,6726.2
229,0.017655,0.015930,0.023355,6755.5
230,0.018797,0.015930,0.023897,6784.9
231,0.019210,0.015930,0.024365,6814.2
232,0.019250,0.015930,0.023652,6843.6
233,0.018850,0.015930,0.023628,6872.9
234,0.019380,0.015930,0.023314,6902.2
235,0.019351,0.015930,0.023160,6931.6
