step,m_k0,m_k1,m_k2
0,0.018269,0.008354,-0.011527
1,0.017420,0.007966,-0.010991
2,0.016613,0.007597,-0.010482
3,0.015845,0.007246,-0.009997
4,0.015115,0.006912,-0.009537
5,0.014420,0.006594,-0.009098
6,0.013760,0.006292,-0.008681
7,0.013131,0.006005,-0.008285
8,0.012533,0.005731,-0.007907
9,0.011964,0.005471,-0.007549
10,0.019098,0.008743,-0.012048
11,0.018249,0.008354,-0.011513
12,0.017442,0.007985,-0.011004
13,0.016674,0.007633,-0.010519
14,0.015943,0.007299,-0.010058
15,0.015249,0.006981,-0.009620
16,0.014588,0.006678,-0.009203
17,0.013959,0.006390,-0.008806
18,0.013361,0.006116,-0.008429
19,0.012792,0.005856,-0.008070
20,0.019883,0.009086,-0.012541
21,0.019034,0.008699,-0.012005
22,0.018227,0.008330,-0.011496
23,0.017459,0.007979,-0.011012
24,0.016729,0.007645,-0.010551
25,0.016034,0.007328,-0.010113
26,0.015373,0.007026,-0.009696
27,0.014744,0.006738,-0.009299
28,0.014146,0.006465,-0.008922
29,0.013577,0.006205,-0.008564
30,0.020629,0.009427,-0.013011
31,0.019780,0.009040,-0.012476
32,0.018973,0.008671,-0.011967
33,0.018205,0.008320,-0.011482
34,0.017474,0.007986,-0.011022
35,0.016779,0.007668,-0.010584
36,0.016119,0.007366,-0.010167
37,0.015490,0.007079,-0.009770
38,0.014892,0.006806,-0.009393
39,0.014323,0.006546,-0.009034
40,0.021338,0.009758,-0.013459
41,0.020489,0.009370,-0.012924
42,0.019682,0.009001,-0.012415
43,0.018914,0.008650,-0.011931
44,0.018183,0.008315,-0.011470
45,0.017489,0.007998,-0.011032
46,0.016828,0.007695,-0.010615
47,0.016199,0.007408,-0.010218
48,0.015601,0.007134,-0.009841
49,0.015032,0.006874,-0.009482
50,0.022011,0.010059,-0.013882
51,0.021162,0.009671,-0.013347
52,0.020355,0.009302,-0.012838
53,0.019587,0.008951,-0.012354
54,0.018856,0.008617,-0.011893
55,0.018162,0.008300,-0.011455
56,0.017501,0.007998,-0.011038
57,0.016872,0.007711,-0.010641
58,0.016274,0.007437,-0.010264
59,0.015705,0.007177,-0.009905
60,0.022650,0.010351,-0.014285
61,0.021801,0.009963,-0.013750
62,0.020994,0.009595,-0.013241
63,0.020226,0.009244,-0.012757
64,0.019496,0.008910,-0.012296
65,0.018801,0.008592,-0.011858
66,0.018140,0.008290,-0.011441
67,0.017511,0.008003,-0.011045
68,0.016913,0.007730,-0.010667
69,0.016344,0.007470,-0.010309
70,0.023258,0.010643,-0.014672
71,0.022410,0.010255,-0.014137
72,0.021602,0.009885,-0.013627
73,0.020834,0.009534,-0.013143
74,0.020104,0.009200,-0.012682
75,0.019409,0.008882,-0.012244
76,0.018748,0.008579,-0.011827
77,0.018119,0.008291,-0.011430
78,0.017521,0.008017,-0.011053
79,0.016952,0.007757,-0.010694
80,0.023835,0.010893,-0.015033
81,0.022986,0.010505,-0.014497
82,0.022179,0.010136,-0.013988
83,0.021411,0.009785,-0.013504
84,0.020681,0.009451,-0.013043
85,0.019986,0.009134,-0.012605
86,0.019325,0.008832,-0.012188
87,0.018696,0.008545,-0.011792
88,0.018098,0.008271,-0.011415
89,0.017529,0.008011,-0.011056
90,0.024385,0.011164,-0.015383
91,0.023536,0.010775,-0.014848
92,0.022728,0.010406,-0.014338
93,0.021961,0.010054,-0.013854
94,0.021230,0.009719,-0.013393
95,0.020535,0.009401,-0.012955
96,0.019874,0.009098,-0.012538
97,0.019245,0.008810,-0.012141
98,0.018647,0.008536,-0.011764
99,0.018078,0.008276,-0.011405
100,0.024905,0.011382,-0.015707
101,0.024056,0.010994,-0.015172
102,0.023249,0.010625,-0.014663
103,0.022481,0.010274,-0.014178
104,0.021751,0.009941,-0.013718
105,0.021056,0.009623,-0.013280
106,0.020395,0.009321,-0.012863
107,0.019766,0.009034,-0.012466
108,0.019168,0.008761,-0.012089
109,0.018599,0.008501,-0.011730
110,0.025400,0.011608,-0.016019
111,0.024551,0.011220,-0.015484
112,0.023744,0.010851,-0.014975
113,0.022976,0.010500,-0.014490
114,0.022246,0.010167,-0.014030
115,0.021551,0.009849,-0.013592
116,0.020890,0.009547,-0.013175
117,0.020261,0.009260,-0.012778
118,0.019663,0.008987,-0.012401
119,0.019094,0.008727,-0.012042
120,0.025870,0.011823,-0.016316
121,0.025021,0.011435,-0.015780
122,0.024214,0.011066,-0.015271
123,0.023446,0.010715,-0.014787
124,0.022716,0.010381,-0.014326
125,0.022021,0.010064,-0.013888
126,0.021360,0.009762,-0.013471
127,0.020731,0.009475,-0.013075
128,0.020133,0.009201,-0.012698
129,0.019564,0.008941,-0.012339
130,0.026316,0.012026,-0.016597
131,0.025468,0.011638,-0.016062
132,0.024660,0.011270,-0.015553
133,0.023892,0.010919,-0.015069
134,0.023162,0.010585,-0.014608
135,0.022467,0.010268,-0.014170
136,0.021806,0.009966,-0.013753
137,0.021177,0.009678,-0.013357
138,0.020579,0.009405,-0.012979
139,0.020011,0.009145,-0.012621
140,0.026741,0.012234,-0.016868
141,0.025893,0.011846,-0.016332
142,0.025085,0.011476,-0.015823
143,0.024317,0.011125,-0.015339
144,0.023587,0.010791,-0.014878
145,0.022892,0.010473,-0.014440
146,0.022231,0.010170,-0.014023
147,0.021602,0.009882,-0.013626
148,0.021004,0.009609,-0.013249
149,0.020435,0.009348,-0.012890
150,0.027206,0.012951,-0.017203
151,0.026354,0.012538,-0.016664
152,0.025544,0.012145,-0.016151
153,0.024774,0.011771,-0.015663
154,0.024041,0.011415,-0.015199
155,0.023344,0.011077,-0.014758
156,0.022680,0.010755,-0.014338
157,0.022050,0.010449,-0.013938
158,0.021450,0.010158,-0.013558
159,0.020879,0.009881,-0.013197
160,0.027542,0.012579,-0.017352
161,0.026693,0.012192,-0.016818
162,0.025885,0.011825,-0.016309
163,0.025116,0.011475,-0.015825
164,0.024385,0.011142,-0.015365
165,0.023690,0.010826,-0.014927
166,0.023029,0.010524,-0.014511
167,0.022400,0.010238,-0.014115
168,0.021801,0.009966,-0.013738
169,0.021232,0.009707,-0.013380
170,0.027892,0.012750,-0.017597
171,0.027043,0.012363,-0.017061
172,0.026236,0.011995,-0.016552
173,0.025468,0.011645,-0.016068
174,0.024738,0.011312,-0.015607
175,0.024043,0.010995,-0.015168
176,0.023382,0.010694,-0.014751
177,0.022753,0.010407,-0.014355
178,0.022155,0.010135,-0.013978
179,0.021587,0.009875,-0.013619
180,0.028235,0.012912,-0.017815
181,0.027387,0.012525,-0.017279
182,0.026580,0.012156,-0.016770
183,0.025812,0.011806,-0.016286
184,0.025082,0.011473,-0.015825
185,0.024387,0.011156,-0.015387
186,0.023726,0.010854,-0.014970
187,0.023098,0.010567,-0.014573
188,0.022500,0.010294,-0.014196
189,0.021931,0.010035,-0.013837
190,0.028566,0.013127,-0.018035
191,0.027718,0.012737,-0.017499
192,0.026911,0.012366,-0.016989
193,0.026143,0.012012,-0.016504
194,0.025412,0.011676,-0.016042
195,0.024717,0.011357,-0.015604
196,0.024057,0.011053,-0.015186
197,0.023428,0.010764,-0.014789
198,0.022830,0.010489,-0.014411
199,0.022261,0.010227,-0.014052
200,0.028877,0.013209,-0.018218
201,0.028028,0.012821,-0.017682
202,0.027221,0.012453,-0.017173
203,0.026453,0.012102,-0.016689
204,0.025723,0.011769,-0.016228
205,0.025028,0.011452,-0.015790
206,0.024367,0.011150,-0.015373
207,0.023739,0.010863,-0.014976
208,0.023141,0.010590,-0.014599
209,0.022572,0.010330,-0.014240
210,0.029176,0.013393,-0.018415
211,0.028327,0.013003,-0.017879
212,0.027520,0.012633,-0.017369
213,0.026752,0.012280,-0.016884
214,0.026021,0.011945,-0.016423
215,0.025326,0.011625,-0.015984
216,0.024665,0.011322,-0.015567
217,0.024037,0.011033,-0.015170
218,0.023439,0.010758,-0.014793
219,0.022870,0.010497,-0.014434
220,0.029456,0.013483,-0.018583
221,0.028608,0.013095,-0.018047
222,0.027800,0.012726,-0.017538
223,0.027032,0.012375,-0.017054
224,0.026302,0.012041,-0.016593
225,0.025607,0.011723,-0.016155
226,0.024946,0.011421,-0.015738
227,0.024318,0.011134,-0.015341
228,0.023719,0.010860,-0.014964
229,0.023151,0.010600,-0.014605
230,0.029725,0.013619,-0.018753
231,0.028876,0.013230,-0.018218
232,0.028069,0.012860,-0.017708
233,0.027301,0.012509,-0.017224
234,0.026570,0.012174,-0.016763
235,0.025876,0.011856,-0.016325
236,0.025215,0.011554,-0.015908
237,0.024586,0.011266,-0.015511
238,0.023988,0.010992,-0.015134
239,0.023419,0.010731,-0.014775
240,0.029978,0.013714,-0.018909
241,0.029129,0.013326,-0.018374
242,0.028322,0.012957,-0.017864
243,0.027554,0.012607,-0.017380
244,0.026824,0.012273,-0.016920
245,0.026129,0.011956,-0.016481
246,0.025468,0.011654,-0.016064
247,0.024839,0.011367,-0.015668
248,0.024241,0.011093,-0.015291
249,0.023672,0.010834,-0.014932
250,0.030220,0.013829,-0.019062
251,0.029371,0.013441,-0.018527
252,0.028564,0.013072,-0.018018
253,0.027796,0.012721,-0.017533
254,0.027066,0.012387,-0.017073
255,0.026371,0.012069,-0.016634
256,0.025710,0.011767,-0.016218
257,0.025081,0.011480,-0.015821
258,0.024483,0.011207,-0.015444
259,0.023914,0.010947,-0.015085
260,0.030449,0.013924,-0.019204
261,0.029601,0.013537,-0.018669
262,0.028793,0.013168,-0.018160
263,0.028025,0.012817,-0.017676
264,0.027295,0.012484,-0.017215
265,0.026600,0.012167,-0.016777
266,0.025939,0.011865,-0.016360
267,0.025310,0.011578,-0.015964
268,0.024712,0.011305,-0.015587
269,0.024143,0.011045,-0.015228
270,0.030667,0.014030,-0.019343
271,0.029819,0.013642,-0.018808
272,0.029011,0.013273,-0.018298
273,0.028243,0.012922,-0.017814
274,0.027513,0.012588,-0.017353
275,0.026818,0.012271,-0.016915
276,0.026157,0.011969,-0.016498
277,0.025528,0.011681,-0.016102
278,0.024930,0.011408,-0.015725
279,0.024361,0.011148,-0.015366
280,0.030874,0.014118,-0.019472
281,0.030025,0.013731,-0.018937
282,0.029218,0.013362,-0.018428
283,0.028450,0.013011,-0.017943
284,0.027719,0.012678,-0.017483
285,0.027024,0.012360,-0.017045
286,0.026363,0.012058,-0.016628
287,0.025735,0.011771,-0.016231
288,0.025136,0.011498,-0.015854
289,0.024568,0.011238,-0.015495
290,0.031070,0.014215,-0.019597
291,0.030222,0.013827,-0.019062
292,0.029414,0.013458,-0.018553
293,0.028646,0.013107,-0.018069
294,0.027916,0.012773,-0.017608
295,0.027221,0.012455,-0.017170
296,0.026560,0.012153,-0.016753
297,0.025931,0.011866,-0.016356
298,0.025333,0.011593,-0.015979
299,0.024764,0.011332,-0.015620
300,0.031383,0.015351,-0.019865
301,0.030528,0.014914,-0.019323
302,0.029715,0.014498,-0.018807
303,0.028942,0.014103,-0.018317
304,0.028207,0.013727,-0.017850
305,0.027507,0.013370,-0.017406
306,0.026841,0.013029,-0.016984
307,0.026208,0.012706,-0.016582
308,0.025606,0.012398,-0.016200
309,0.025033,0.012105,-0.015836
310,0.031464,0.014359,-0.019808
311,0.030614,0.013974,-0.019274
312,0.029806,0.013608,-0.018766
313,0.029037,0.013260,-0.018283
314,0.028306,0.012929,-0.017823
315,0.027610,0.012614,-0.017386
316,0.026948,0.012314,-0.016970
317,0.026318,0.012029,-0.016574
318,0.025719,0.011758,-0.016198
319,0.025150,0.011500,-0.015840
320,0.031610,0.014467,-0.019939
321,0.030761,0.014080,-0.019404
322,0.029954,0.013712,-0.018894
323,0.029186,0.013363,-0.018410
324,0.028455,0.013030,-0.017949
325,0.027760,0.012714,-0.017511
326,0.027099,0.012413,-0.017094
327,0.026471,0.012126,-0.016698
328,0.025872,0.011854,-0.016320
329,0.025304,0.011595,-0.015962
330,0.031762,0.014544,-0.020047
331,0.030913,0.014157,-0.019511
332,0.030106,0.013789,-0.019001
333,0.029339,0.013439,-0.018517
334,0.028609,0.013106,-0.018056
335,0.027914,0.012789,-0.017617
336,0.027253,0.012488,-0.017200
337,0.026625,0.012202,-0.016803
338,0.026027,0.011929,-0.016426
339,0.025458,0.011670,-0.016067
340,0.031908,0.014617,-0.020147
341,0.031060,0.014230,-0.019611
342,0.030253,0.013862,-0.019101
343,0.029486,0.013511,-0.018617
344,0.028756,0.013178,-0.018155
345,0.028061,0.012861,-0.017717
346,0.027401,0.012560,-0.017299
347,0.026773,0.012273,-0.016902
348,0.026175,0.012000,-0.016525
349,0.025606,0.011740,-0.016166
350,0.032048,0.014686,-0.020243
351,0.031200,0.014299,-0.019707
352,0.030393,0.013930,-0.019197
353,0.029626,0.013579,-0.018712
354,0.028896,0.013246,-0.018250
355,0.028202,0.012929,-0.017811
356,0.027541,0.012627,-0.017394
357,0.026913,0.012340,-0.016997
358,0.026316,0.012067,-0.016619
359,0.025747,0.011807,-0.016260
360,0.032187,0.014795,-0.020337
361,0.031339,0.014405,-0.019801
362,0.030532,0.014034,-0.019290
363,0.029765,0.013682,-0.018805
364,0.029035,0.013346,-0.018343
365,0.028340,0.013027,-0.017904
