donor,kind,cond_seed,survival,half_life,half_life_sd,final_hamming,final_hamming_sd,auc,auc_sd,elapsed_s
own,ctrl,0,1.000,5.13,2.58,0.034790,0.019100,0.019692,0.011586,1.1
own,ctrl,1,1.000,6.05,2.81,0.031738,0.021066,0.018465,0.013652,0.4
own,ctrl,2,1.000,5.24,2.23,0.035373,0.022431,0.018337,0.010993,0.4
s0,ctrl,0,0.875,4.46,2.56,0.051039,0.030232,0.025248,0.017157,0.4
s0,ctrl,1,0.875,3.74,2.37,0.052585,0.030029,0.026487,0.015755,0.3
s0,ctrl,2,0.875,4.09,2.73,0.053480,0.032526,0.025777,0.016708,0.4
s1,ctrl,0,1.000,4.57,2.25,0.038398,0.021530,0.021474,0.013032,0.4
s1,ctrl,1,1.000,5.79,2.61,0.032552,0.022585,0.018226,0.012788,0.4
s1,ctrl,2,1.000,5.77,2.21,0.034193,0.024131,0.019110,0.011817,0.4
s2,ctrl,0,0.625,2.46,1.36,0.089762,0.023108,0.041320,0.014858,0.4
s2,ctrl,1,0.500,3.13,1.89,0.094143,0.027951,0.041523,0.014487,0.4
s2,ctrl,2,0.625,2.70,1.81,0.092163,0.026366,0.040332,0.014320,0.4
s3,ctrl,0,1.000,5.82,3.48,0.032905,0.020718,0.018667,0.012098,0.4
s3,ctrl,1,1.000,5.12,3.04,0.040853,0.023965,0.020982,0.012512,0.3
s3,ctrl,2,1.000,5.74,3.52,0.032471,0.020977,0.019946,0.013488,0.4
own_tonic,tonic,0,1.000,5.57,3.47,0.032403,0.020672,0.018831,0.012807,0.6
own_tonic,tonic,1,1.000,5.52,2.86,0.032403,0.019370,0.018016,0.011924,0.3
own_tonic,tonic,2,1.000,5.69,2.19,0.029080,0.020043,0.017607,0.011790,0.3
s0_tonic,tonic,0,0.875,4.32,2.71,0.051392,0.028480,0.024869,0.014798,0.6
s0_tonic,tonic,1,0.875,4.77,2.77,0.043457,0.029453,0.022788,0.015547,0.3
s0_tonic,tonic,2,1.000,4.08,2.09,0.048082,0.026459,0.023868,0.014125,0.3
s1_tonic,tonic,0,1.000,5.49,2.64,0.035970,0.022085,0.019992,0.012397,0.6
s1_tonic,tonic,1,1.000,5.68,3.24,0.032539,0.021897,0.018872,0.012915,0.3
s1_tonic,tonic,2,1.000,5.10,2.40,0.032294,0.018914,0.018373,0.011041,0.3
s2_tonic,tonic,0,0.750,2.74,1.43,0.097127,0.041916,0.043993,0.017968,0.6
s2_tonic,tonic,1,0.625,2.75,1.41,0.093289,0.030013,0.041796,0.011736,0.3
s2_tonic,tonic,2,0.625,2.47,1.09,0.093587,0.027408,0.038980,0.011763,0.3
s3_tonic,tonic,0,1.000,7.03,6.78,0.041857,0.022762,0.022702,0.012229,0.6
s3_tonic,tonic,1,1.000,5.11,2.86,0.038723,0.021892,0.021171,0.012115,0.3
s3_tonic,tonic,2,1.000,5.22,2.38,0.034546,0.019988,0.020040,0.011477,0.3
